Sex Age      L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1   138.5    -0.92467  38.2977  0.19405  27.9638  28.9537  30.6168  33.8466  38.2977  44.0313  50.8045  55.9047  59.7779
1   139.5    -0.90945  38.6836  0.19458  28.2050  29.2095  30.8970  34.1728  38.6836  44.4862  51.3277  56.4687  60.3665
1   140.5    -0.89444  39.0736  0.19507  28.4501  29.4694  31.1815  34.5033  39.0736  44.9447  51.8533  57.0339  60.9551
1   141.5    -0.87967  39.4678  0.19552  28.6993  29.7335  31.4701  34.8381  39.4678  45.4067  52.3812  57.6002  61.5439
1   142.5    -0.86516  39.8660  0.19592  28.9528  30.0019  31.7631  35.1772  39.8660  45.8721  52.9111  58.1673  62.1324
1   143.5    -0.85091  40.2682  0.19628  29.2105  30.2745  32.0605  35.5206  40.2682  46.3408  53.4430  58.7352  62.7207
1   144.5    -0.83696  40.6744  0.19659  29.4725  30.5516  32.3622  35.8683  40.6744  46.8125  53.9766  59.3035  63.3085
1   145.5    -0.82331  41.0844  0.19685  29.7389  30.8330  32.6683  36.2203  41.0844  47.2872  54.5117  59.8722  63.8957
1   146.5    -0.80999  41.4981  0.19707  30.0098  31.1189  32.9788  36.5765  41.4981  47.7646  55.0482  60.4411  64.4821
1   147.5    -0.79701  41.9155  0.19724  30.2852  31.4092  33.2937  36.9368  41.9155  48.2448  55.5859  61.0099  65.0677
1   148.5    -0.78438  42.3364  0.19736  30.5651  31.7040  33.6131  37.3013  42.3364  48.7274  56.1246  61.5787  65.6523
1   149.5    -0.77213  42.7607  0.19743  30.8496  32.0034  33.9368  37.6699  42.7607  49.2123  56.6641  62.1470  66.2357
1   150.5    -0.76027  43.1882  0.19746  31.1386  32.3072  34.2648  38.0424  43.1882  49.6994  57.2043  62.7150  66.8178
1   151.5    -0.74881  43.6189  0.19744  31.4322  32.6156  34.5972  38.4188  43.6189  50.1883  57.7449  63.2822  67.3985
1   152.5    -0.73778  44.0525  0.19737  31.7304  32.9284  34.9339  38.7989  44.0525  50.6791  58.2857  63.8487  67.9777
1   153.5    -0.72718  44.4890  0.19726  32.0332  33.2456  35.2747  39.1828  44.4890  51.1714  58.8267  64.4142  68.5553
1   154.5    -0.71703  44.9280  0.19710  32.3405  33.5673  35.6197  39.5701  44.9280  51.6650  59.3675  64.9786  69.1312
1   155.5    -0.70735  45.3696  0.19690  32.6522  33.8932  35.9687  39.9609  45.3696  52.1598  59.9080  65.5418  69.7052
1   156.5    -0.69816  45.8133  0.19666  32.9685  34.2235  36.3217  40.3550  45.8133  52.6555  60.4479  66.1035  70.2773
1   157.5    -0.68947  46.2591  0.19637  33.2891  34.5579  36.6785  40.7522  46.2591  53.1519  60.9872  66.6638  70.8474
1   158.5    -0.68130  46.7068  0.19604  33.6140  34.8964  37.0390  41.1523  46.7068  53.6488  61.5256  67.2223  71.4154
1   159.5    -0.67366  47.1560  0.19567  33.9431  35.2389  37.4031  41.5551  47.1560  54.1460  62.0629  67.7791  71.9813
1   160.5    -0.66658  47.6066  0.19526  34.2764  35.5853  37.7706  41.9605  47.6066  54.6431  62.5990  68.3339  72.5448
1   161.5    -0.66006  48.0584  0.19482  34.6136  35.9353  38.1414  42.3683  48.0584  55.1400  63.1335  68.8866  73.1061
1   162.5    -0.65414  48.5111  0.19434  34.9547  36.2890  38.5152  42.7781  48.5111  55.6365  63.6664  69.4371  73.6649
1   163.5    -0.64881  48.9644  0.19383  35.2995  36.6460  38.8919  43.1899  48.9644  56.1322  64.1975  69.9853  74.2213
1   164.5    -0.64411  49.4181  0.19328  35.6479  37.0063  39.2713  43.6033  49.4181  56.6269  64.7264  70.5310  74.7751
1   165.5    -0.64005  49.8718  0.19270  35.9996  37.3696  39.6532  44.0182  49.8718  57.1204  65.2531  71.0741  75.3264
1   166.5    -0.63665  50.3254  0.19209  36.3546  37.7357  40.0373  44.4341  50.3254  57.6124  65.7774  71.6146  75.8749
1   167.5    -0.63391  50.7785  0.19146  36.7125  38.1045  40.4234  44.8510  50.7785  58.1026  66.2990  72.1521  76.4208
1   168.5    -0.63187  51.2309  0.19080  37.0733  38.4757  40.8113  45.2684  51.2309  58.5907  66.8178  72.6868  76.9638
1   169.5    -0.63053  51.6822  0.19012  37.4365  38.8489  41.2006  45.6862  51.6822  59.0766  67.3335  73.2183  77.5041
1   170.5    -0.62992  52.1322  0.18942  37.8021  39.2241  41.5912  46.1040  52.1322  59.5599  67.8461  73.7466  78.0414
1   171.5    -0.63004  52.5805  0.18870  38.1697  39.6009  41.9826  46.5215  52.5805  60.0404  68.3551  74.2717  78.5758
1   172.5    -0.63090  53.0269  0.18796  38.5391  39.9790  42.3747  46.9383  53.0269  60.5178  68.8606  74.7932  79.1071
1   173.5    -0.63252  53.4710  0.18720  38.9100  40.3582  42.7672  47.3543  53.4710  60.9918  69.3623  75.3113  79.6354
1   174.5    -0.63491  53.9126  0.18644  39.2821  40.7381  43.1596  47.7691  53.9126  61.4621  69.8599  75.8256  80.1605
1   175.5    -0.63808  54.3512  0.18566  39.6550  41.1185  43.5518  48.1823  54.3512  61.9286  70.3534  76.3360  80.6823
1   176.5    -0.64202  54.7867  0.18487  40.0286  41.4989  43.9433  48.5936  54.7867  62.3909  70.8425  76.8426  81.2009
1   177.5    -0.64675  55.2187  0.18407  40.4024  41.8791  44.3339  49.0027  55.2187  62.8487  71.3270  77.3450  81.7160
1   178.5    -0.65226  55.6470  0.18327  40.7760  42.2588  44.7231  49.4094  55.6470  63.3019  71.8067  77.8433  82.2277
1   179.5    -0.65855  56.0711  0.18247  41.1493  42.6375  45.1108  49.8131  56.0711  63.7501  72.2815  78.3372  82.7357
1   180.5    -0.66560  56.4909  0.18166  41.5217  43.0150  45.4964  50.2137  56.4909  64.1932  72.7511  78.8265  83.2401
1   181.5    -0.67342  56.9061  0.18085  41.8930  43.3909  45.8798  50.6109  56.9061  64.6309  73.2154  79.3113  83.7407
1   182.5    -0.68198  57.3163  0.18005  42.2627  43.7648  46.2604  51.0042  57.3163  65.0630  73.6742  79.7912  84.2374
1   183.5    -0.69127  57.7213  0.17925  42.6305  44.1363  46.6381  51.3934  57.7213  65.4891  74.1273  80.2663  84.7300
1   184.5    -0.70126  58.1209  0.17845  42.9961  44.5052  47.0124  51.7782  58.1209  65.9093  74.5746  80.7362  85.2183
1   185.5    -0.71192  58.5149  0.17766  43.3589  44.8710  47.3831  52.1583  58.5149  66.3231  75.0158  81.2009  85.7024
1   186.5    -0.72321  58.9029  0.17688  43.7188  45.2333  47.7497  52.5335  58.9029  66.7305  75.4509  81.6601  86.1819
1   187.5    -0.73512  59.2847  0.17611  44.0752  45.5919  48.1119  52.9033  59.2847  67.1313  75.8795  82.1138  86.6567
1   188.5    -0.74758  59.6603  0.17535  44.4278  45.9463  48.4695  53.2677  59.6603  67.5253  76.3017  82.5617  87.1266
1   189.5    -0.76055  60.0293  0.17461  44.7762  46.2963  48.8222  53.6263  60.0293  67.9123  76.7172  83.0037  87.5914
1   190.5    -0.77398  60.3915  0.17387  45.1202  46.6414  49.1695  53.9788  60.3915  68.2922  77.1259  83.4396  88.0509
1   191.5    -0.78781  60.7469  0.17315  45.4592  46.9814  49.5113  54.3251  60.7469  68.6649  77.5276  83.8691  88.5048
1   192.5    -0.80199  61.0953  0.17245  45.7930  47.3159  49.8472  54.6650  61.0953  69.0303  77.9223  84.2922  88.9530
1   193.5    -0.81644  61.4366  0.17177  46.1212  47.6446  50.1770  54.9982  61.4366  69.3883  78.3097  84.7087  89.3951
1   194.5    -0.83111  61.7705  0.17111  46.4435  47.9672  50.5005  55.3246  61.7705  69.7387  78.6898  85.1182  89.8309
1   195.5    -0.84591  62.0971  0.17046  46.7596  48.2835  50.8174  55.6441  62.0971  70.0816  79.0625  85.5207  90.2602
1   196.5    -0.86078  62.4163  0.16984  47.0693  48.5932  51.1275  55.9564  62.4163  70.4168  79.4276  85.9160  90.6826
1   197.5    -0.87565  62.7280  0.16923  47.3722  48.8960  51.4306  56.2615  62.7280  70.7444  79.7850  86.3039  91.0978
1   198.5    -0.89043  63.0322  0.16865  47.6681  49.1918  51.7265  56.5593  63.0322  71.0643  80.1348  86.6841  91.5057
1   199.5    -0.90506  63.3289  0.16809  47.9568  49.4804  52.0151  56.8497  63.3289  71.3765  80.4767  87.0565  91.9057
1   200.5    -0.91945  63.6180  0.16755  48.2381  49.7615  52.2964  57.1326  63.6180  71.6810  80.8108  87.4209  92.2977
1   201.5    -0.93354  63.8995  0.16704  48.5119  50.0351  52.5701  57.4080  63.8995  71.9778  81.1369  87.7772  92.6814
1   202.5    -0.94725  64.1736  0.16655  48.7780  50.3011  52.8362  57.6758  64.1736  72.2671  81.4551  88.1251  93.0564
1   203.5    -0.96050  64.4403  0.16608  49.0362  50.5593  53.0946  57.9362  64.4403  72.5487  81.7652  88.4645  93.4224
1   204.5    -0.97324  64.6996  0.16564  49.2866  50.8097  53.3454  58.1891  64.6996  72.8229  82.0674  88.7952  93.7791
1   205.5    -0.98539  64.9516  0.16521  49.5290  51.0522  53.5885  58.4346  64.9516  73.0897  82.3615  89.1171  94.1263
1   206.5    -0.99690  65.1965  0.16481  49.7635  51.2870  53.8240  58.6728  65.1965  73.3492  82.6475  89.4301  94.4636
1   207.5    -1.00770  65.4344  0.16444  49.9901  51.5140  54.0520  58.9037  65.4344  73.6015  82.9255  89.7339  94.7908
1   208.5    -1.01775  65.6654  0.16408  50.2087  51.7333  54.2725  59.1276  65.6654  73.8467  83.1956  90.0286  95.1076
1   209.5    -1.02700  65.8897  0.16375  50.4197  51.9449  54.4857  59.3445  65.8897  74.0850  83.4576  90.3139  95.4137
1   210.5    -1.03540  66.1074  0.16343  50.6229  52.1491  54.6916  59.5546  66.1074  74.3166  83.7118  90.5899  95.7091
1   211.5    -1.04291  66.3189  0.16314  50.8186  52.3460  54.8905  59.7581  66.3189  74.5416  83.9581  90.8564  95.9934
1   212.5    -1.04951  66.5243  0.16286  51.0069  52.5357  55.0826  59.9553  66.5243  74.7602  84.1968  91.1135  96.2666
1   213.5    -1.05516  66.7239  0.16260  51.1881  52.7184  55.2681  60.1463  66.7239  74.9726  84.4278  91.3612  96.5284
1   214.5    -1.05984  66.9178  0.16236  51.3623  52.8945  55.4472  60.3315  66.9178  75.1791  84.6513  91.5993  96.7789
1   215.5    -1.06353  67.1064  0.16213  51.5298  53.0640  55.6201  60.5110  67.1064  75.3798  84.8674  91.8281  97.0179
1   216.5    -1.06622  67.2899  0.16192  51.6908  53.2274  55.7873  60.6852  67.2899  75.5750  85.0764  92.0476  97.2456
1   217.5    -1.06790  67.4686  0.16172  51.8457  53.3848  55.9488  60.8543  67.4686  75.7649  85.2783  92.2579  97.4619
1   218.5    -1.06858  67.6428  0.16153  51.9947  53.5365  56.1050  61.0186  67.6428  75.9499  85.4735  92.4592  97.6670
1   219.5    -1.06826  67.8127  0.16135  52.1380  53.6829  56.2563  61.1784  67.8127  76.1301  85.6622  92.6517  97.8611
1   220.5    -1.06693  67.9787  0.16118  52.2761  53.8242  56.4028  61.3340  67.9787  76.3059  85.8445  92.8357  98.0442
1   221.5    -1.06462  68.1411  0.16102  52.4091  53.9607  56.5449  61.4858  68.1411  76.4775  86.0210  93.0114  98.2173
1   222.5    -1.06134  68.3000  0.16086  52.5373  54.0927  56.6828  61.6338  68.3000  76.6453  86.1917  93.1794  98.3802
1   223.5    -1.05711  68.4558  0.16072  52.6609  54.2204  56.8168  61.7785  68.4558  76.8094  86.3572  93.3399  98.5337
1   224.5    -1.05198  68.6087  0.16058  52.7803  54.3440  56.9471  61.9199  68.6087  76.9703  86.5178  93.4936  98.6784
1   225.5    -1.04599  68.7588  0.16046  52.8955  54.4638  57.0739  62.0584  68.7588  77.1280  86.6739  93.6409  98.8150
1   226.5    -1.03916  68.9065  0.16034  53.0067  54.5797  57.1973  62.1939  68.9065  77.2831  86.8259  93.7827  98.9445
1   227.5    -1.03157  69.0517  0.16023  53.1140  54.6920  57.3173  62.3267  69.0517  77.4355  86.9745  93.9196  99.0678
1   228.5    -1.02329  69.1946  0.16013  53.2173  54.8006  57.4340  62.4568  69.1946  77.5857  87.1200  94.0526  99.1861
1   229.5    -1.01438  69.3352  0.16005  53.3167  54.9055  57.5474  62.5839  69.3352  77.7339  87.2632  94.1825  99.3007
1   230.5    -1.00495  69.4735  0.15999  53.4120  55.0064  57.6571  62.7082  69.4735  77.8801  87.4046  94.3104  99.4131
1   231.5    -0.99510  69.6092  0.15994  53.5029  55.1032  57.7631  62.8292  69.6092  78.0246  87.5448  94.4376  99.5250
1   232.5    -0.98495  69.7422  0.15993  53.5891  55.1955  57.8648  62.9466  69.7422  78.1674  87.6847  94.5654  99.6381
1   233.5    -0.97466  69.8722  0.15995  53.6700  55.2826  57.9618  63.0599  69.8722  78.3086  87.8249  94.6951  99.7547
1   234.5    -0.96437  69.9986  0.16000  53.7450  55.3641  58.0534  63.1686  69.9986  78.4482  87.9663  94.8285  99.8770
1   235.5    -0.95427  70.1210  0.16011  53.8132  55.4389  58.1386  63.2717  70.1210  78.5861  88.1097  94.9673 100.0075
1   236.5    -0.94455  70.2385  0.16027  53.8737  55.5061  58.2166  63.3683  70.2385  78.7223  88.2561  95.1134 100.1491
1   237.5    -0.93541  70.3503  0.16050  53.9251  55.5644  58.2859  63.4572  70.3503  78.8564  88.4064  95.2689 100.3048
1   238.5    -0.92705  70.4554  0.16081  53.9661  55.6123  58.3451  63.5370  70.4554  78.9883  88.5617  95.4361 100.4779
1   239.5    -0.91971  70.5525  0.16122  53.9948  55.6480  58.3924  63.6061  70.5525  79.1176  88.7231  95.6174 100.6721
1   240.0    -0.91648  70.5976  0.16147  54.0039  55.6607  58.4110  63.6361  70.5976  79.1811  88.8064  95.7143 100.7783
2    60.5    -1.28769  18.0231  0.14119  14.3427  14.7092  15.3175  16.4747  18.0231  19.9504  22.1460  23.7502  24.9440
2    61.5    -1.29433  18.2095  0.14188  14.4793  14.8502  15.4661  16.6386  18.2095  20.1683  22.4045  24.0420  25.2625
2    62.5    -1.30044  18.3970  0.14257  14.6165  14.9918  15.6154  16.8034  18.3970  20.3875  22.6647  24.3357  25.5831
2    63.5    -1.30598  18.5857  0.14325  14.7542  15.1341  15.7654  16.9690  18.5857  20.6080  22.9266  24.6313  25.9059
2    64.5    -1.31094  18.7754  0.14394  14.8924  15.2769  15.9161  17.1356  18.7754  20.8300  23.1903  24.9289  26.2309
2    65.5    -1.31528  18.9663  0.14462  15.0311  15.4202  16.0674  17.3030  18.9663  21.0534  23.4557  25.2286  26.5582
2    66.5    -1.31899  19.1583  0.14531  15.1703  15.5641  16.2194  17.4713  19.1583  21.2783  23.7230  25.5305  26.8879
2    67.5    -1.32203  19.3514  0.14600  15.3097  15.7084  16.3719  17.6403  19.3514  21.5048  23.9923  25.8346  27.2201
2    68.5    -1.32439  19.5458  0.14670  15.4496  15.8531  16.5250  17.8103  19.5458  21.7329  24.2636  26.1411  27.5548
2    69.5    -1.32606  19.7415  0.14741  15.5897  15.9983  16.6787  17.9811  19.7415  21.9627  24.5370  26.4500  27.8921
2    70.5    -1.32702  19.9384  0.14812  15.7301  16.1438  16.8330  18.1528  19.9384  22.1942  24.8128  26.7615  28.2323
2    71.5    -1.32725  20.1366  0.14885  15.8708  16.2897  16.9878  18.3254  20.1366  22.4276  25.0908  27.0757  28.5754
2    72.5    -1.32676  20.3363  0.14958  16.0118  16.4360  17.1432  18.4990  20.3363  22.6629  25.3714  27.3927  28.9216
2    73.5    -1.32553  20.5374  0.15034  16.1531  16.5827  17.2992  18.6735  20.5374  22.9002  25.6546  27.7127  29.2709
2    74.5    -1.32357  20.7401  0.15110  16.2946  16.7298  17.4558  18.8490  20.7401  23.1397  25.9405  28.0357  29.6236
2    75.5    -1.32088  20.9443  0.15188  16.4363  16.8773  17.6130  19.0256  20.9443  23.3814  26.2292  28.3621  29.9798
2    76.5    -1.31746  21.1503  0.15268  16.5784  17.0252  17.7709  19.2033  21.1503  23.6255  26.5210  28.6918  30.3396
2    77.5    -1.31333  21.3579  0.15349  16.7207  17.1736  17.9295  19.3821  21.3579  23.8719  26.8159  29.0251  30.7032
2    78.5    -1.30848  21.5674  0.15432  16.8634  17.3225  18.0888  19.5622  21.5674  24.1210  27.1140  29.3621  31.0708
2    79.5    -1.30294  21.7789  0.15517  17.0065  17.4718  18.2489  19.7435  21.7789  24.3727  27.4156  29.7029  31.4424
2    80.5    -1.29673  21.9923  0.15604  17.1499  17.6217  18.4098  19.9261  21.9923  24.6272  27.7207  30.0478  31.8184
2    81.5    -1.28986  22.2078  0.15692  17.2938  17.7723  18.5717  20.1102  22.2078  24.8846  28.0296  30.3968  32.1988
2    82.5    -1.28235  22.4256  0.15783  17.4382  17.9235  18.7344  20.2958  22.4256  25.1450  28.3423  30.7502  32.5838
2    83.5    -1.27424  22.6456  0.15875  17.5831  18.0753  18.8981  20.4829  22.6456  25.4086  28.6590  31.1080  32.9736
2    84.5    -1.26554  22.8680  0.15969  17.7285  18.2280  19.0630  20.6716  22.8680  25.6754  28.9797  31.4704  33.3683
2    85.5    -1.25629  23.0929  0.16065  17.8746  18.3815  19.2289  20.8621  23.0929  25.9456  29.3048  31.8377  33.7680
